DISTRICT,COVID_COUNT,COVID_DEATHS,COVID_TEST,COUNTY_NAME
District 3,230,3,3982,Adams
District 3,5785,198,59360,Allen
District 8,1132,,15911,Bartholomew
District 4,88,0,1630,Benton
District 6,107,2,1827,Blackford
District 5,938,46,13027,Boone
District 8,93,3,1832,Brown
District 8,1132,57,15911,Bartholomew
District 4,267,13,3288,Carroll
District 4,1920,9,9190,Cass
District 9,2050,56,21001,Clark
District 7,285,,4452,Clay
District 4,591,11,7994,Clinton
District 10,98,0,1650,Crawford
District 10,616,27,4983,Daviess
District 9,614,28,8577,Dearborn
District 9,447,39,4807,Decatur
District 3,425,11,5478,De Kalb
District 6,1801,59,20364,Delaware
District 10,921,18,7960,Dubois
District 2,6198,106,47910,Elkhart
District 6,404,13,4383,Fayette
District 9,1279,61,13681,Floyd
District 4,115,2,2602,Fountain
District 9,292,25,2308,Franklin
District 2,229,2,3220,Fulton
District 10,434,4,5092,Gibson
District 6,851,32,12112,Grant
District 7,409,35,5491,Greene
District 5,4600,109,70211,Hamilton
District 5,892,42,15516,Hancock
District 9,548,,6680,Harrison
District 5,2607,120,27957,Hendricks
District 6,734,24,8363,Henry
District 6,1251,63,15373,Howard
District 3,207,3,5786,Huntington
District 8,725,9,7144,Jackson
District 1,373,2,5638,Jasper
District 6,164,0,2436,Jay
District 9,236,3,5187,Jefferson
District 9,305,12,3616,Jennings
District 5,2241,122,28348,Johnson
District 10,465,9,5055,Knox
District 2,1167,17,12586,Kosciusko
District 3,628,11,3552,Lagrange
District 1,10013,312,91499,
District 1,1348,37,20327,La Porte
District 8,499,28,6665,Lawrence
District 6,1530,75,19087,Madison
District 5,20341,757,193253,Marion
District 2,974,23,10910,Marshall
District 10,156,0,1552,Martin
District 3,420,2,6538,Miami
District 8,2243,36,43432,Monroe
District 4,494,21,6696,Montgomery
District 5,680,38,10180,Morgan
District 1,164,11,1648,Newton
District 3,864,32,8615,Noble
District 9,75,7,1107,Ohio
District 8,279,24,3183,Orange
District 7,162,1,,Owen
District 7,90,2,2162,Parke
District 10,200,14,3616,Perry
District 10,133,1,1722,Pike
District 1,1978,43,27565,Porter
District 10,290,0,3965,Posey
District 10,200,14,3616,Perry
District 2,112,1,1976,Pulaski
District 7,509,8,6318,Putnam
District 6,204,7,3799,Randolph
District 9,276,8,4929,Ripley
District 6,148,4,2808,Rush
District 2,5867,96,71761,St. Joseph
District 9,344,10,4832,Scott
District 5,655,29,7334,Shelby
District 10,198,4,2742,Spencer
District 2,238,7,3295,Starke
District 3,344,7,4544,Steuben
District 7,326,12,3638,Sullivan
District 9,,0,1465,Switzerland
District 4,2113,13,49238,Tippecanoe
District 6,215,22,2278,Tipton
District 6,76,0,1366,Union
District 10,3181,26,41156,Vanderburgh
District 7,121,0,2472,Vermillion
District 7,1696,21,19606,Vigo
District 10,3181,26,41156,Vanderburgh
District 3,254,7,4694,Wabash
District 4,38,1,869,Warren
District 10,1041,34,12842,Warrick
District 8,249,1,3477,Washington
District 6,722,14,13602,Wayne
District 3,242,2,4007,
District 4,471,14,5236,White
District 3,245,6,4040,Whitley
